Content,Video title,Video publish time,Views,Impressions,Impressions click-through rate (%),Average view duration
9YUVLeutPn8,Convertir latitud y longitud a dirección|Geolocalización | GeoPy| Python | Muy Básico,"Sep 25, 2017",23931,47297,8.06,0:01:57
wrnBEYsPuUY,Gráficas de funciones con Desmos.com,"Apr 27, 2015",23887,7637,3.86,0:01:23
9J0Ab4pgvYc,Redes Neuronales| Predicción | SciKitLearn | Machine Learning| Python | ¡Muy básico!,"Aug 26, 2018",23522,66044,6.41,0:03:45
2S4QOSnIpmg,🧐 Área con coordenadas polares | Integral | ¡Muy básico!|Cálculo Vectorial,"Oct 3, 2020",23031,89082,6.56,0:04:22
gJN07r5yl2g,Python: Método de Bisección,"Sep 20, 2015",23022,8881,6.36,0:02:37
lhC01D6CbVU,Pandas desde cero (Python): ¿Cómo seleccionar renglones y columnas de un archivo CSV?  (Muy Básico),"Jun 30, 2017",22954,74348,3.27,0:03:06
4DSsXcjdCcE,Despejes muy rudos: ¿Cómo despejar la x en una ecuación exponencial?,"Sep 25, 2016",22921,9062,3.81,0:01:51
nG1SuQi2ORY,Despeje del tiempo en una ecuación exponencial (Interés compuesto muy básico),"May 16, 2016",22903,23955,9,0:01:33
OjW4OqZelO0,🧮 Estadísticas Básicas  |  Calculadora científica | Casio fx-82MS,"Jul 17, 2019",22716,62560,9.6,0:02:01
J3s-ACvydWI,Convertir strings a listas y listas a strings│Split │Join | Python desde cero| Básico,"Apr 28, 2018",22701,37524,12.74,0:02:05
za5ei6qoTNI,Determinantes de matrices: Método de cofactores ¡Fácil y rápido!,"Nov 17, 2016",22088,11945,4.57,0:03:24
wbgfV4KNiv4,Cálculos en Procesos Adiabáticos | Cálculo de Presiones y Temperaturas en los puntos finales | Termo,"Apr 16, 2020",22077,39530,7.99,0:03:01
vlsR11mQXm4,👁️ Buscar valores en un dataframe a partir de datos de otro dataframe | Pandas | Python,"Jul 18, 2019",21979,60216,6.31,0:03:26
61bCJKa3K0w,¿Sabías qué?: Nombres de Dinosaurios,"Apr 30, 2017",21920,5064,2.27,0:00:49
RACZpeVxZ6k,💽 Leer y grabar una matriz en archivo | TXT | CSV | Numpy | Python │¡Muy fácil!,"Aug 1, 2019",21554,21470,8.64,0:02:42
aVOIC4g75JA,Pandas desde cero: Estadísticas básicas para un archivo CSV (+4000 registros),"Jun 26, 2017",21170,45829,4.42,0:05:23
zpj2gwrw9vc,〰️🔥 Radiación | Transferencia de calor | Termodinámica | ¡Muy básico!,"Jun 1, 2020",21050,50613,9.8,0:02:28
RU-eZQ4bW-E,↗️ ¿Cómo graficar vectores en línea? | Geogebra |¡Muy básico!|Cálculo Vectorial,"Jul 22, 2020",21046,40007,7.61,0:03:11
-NHAL7taSAs,Esto es CCTMéxico,"Oct 27, 2017",20890,18285,1.33,0:00:28
OsIGegfG1Lg,¿Cómo editar vídeos con Kdenlive? (Básico),"Mar 24, 2017",20573,3811,3.28,0:03:22
SoXSULMSmkA,💡¿Cómo integrar expresiones con Series de Taylor? | ¡Muy Básico! | Cálculo Integral,"May 16, 2020",20485,22349,9.89,0:02:20
JtDlq2bXYgw,Calculadora descuentos en QT Designer| P3 | Python | (¡Muy básico!),"Aug 11, 2017",20087,49871,5.99,0:03:45
0IfAp19Tfzs,Importar y leer varios archivos de Excel | Guardar varias hojas de Excel | Pandas| Python |,"Jan 23, 2019",19898,57780,4.59,0:04:25
z7utAdYEoA0,Python: Integrales simbólicas y numéricas,"Nov 14, 2016",19879,21321,10.22,0:01:54
Es7SCnzlXsE,Agregar una columna a un Data Frame| CSV | Pandas  | Python | ¡Muy básico!,"May 13, 2018",19856,38990,10.77,0:02:05
y3eC8uboZds,Regresión Lineal Múltiple | SciKitLearn | Machine Learning| Python | ¡Muy básico!,"Jul 7, 2018",19854,62587,7.2,0:05:21
yqDq6Wl6Yoc,Métodos Numéricos: Eliminación Gaussiana (Principiante)/Gaussian Elimination (Beginner),"Oct 26, 2015",19335,22344,7.91,0:03:16
ZXcaz9q2JDg,Pandas para Python: Búsqueda de datos con condiciones (Muy Básico),"Jul 15, 2017",19103,61410,4.07,0:03:16
v19JqmlFzTA,Funciones en Python: Cálculo de raíces con la fórmula general (Básico),"Jun 15, 2016",18973,27828,6.2,0:02:16
d-1ZAqJQcr4,¿Cómo hacer que la calculadora muestre fracciones normales en lugar de mixtas?,"Aug 31, 2016",18925,5354,7.55,0:01:07
n4qdakX6bfc,"¿Cómo medir el tiempo en Python? (Módulo de Time, Básico)","Mar 25, 2017",18839,29664,9.57,0:02:43
LpIofeTqgpc,Gráfica de seno│Entre dos valores│ Python │NumPy │Matplotlib│¡Muy fácil!,"Sep 17, 2017",18798,19623,5.9,0:01:33
